Segment,PropReg,PropWeek,PropBase,Distance,Winner,Margin
91-PHL-TPA,"(0.025423728813559324, 'Regular')","(0.059322033898305086, 'Weekday')","(0.19491525423728814, 'Baseline')",23,Baseline,0.13559322033898305
91-PHL-WPK,"(0.059322033898305086, 'Weekday')","(0.09322033898305085, 'Regular')","(0.2711864406779661, 'Baseline')",19,Baseline,0.17796610169491525
91-PTB-CYN,"(0.29838709677419356, 'Weekday')","(0.3225806451612903, 'Baseline')","(0.4274193548387097, 'Regular')",3,Regular,0.10483870967741937
91-PTB-DLD,"(0.09166666666666666, 'Regular')","(0.125, 'Weekday')","(0.21666666666666667, 'Baseline')",12,Baseline,0.09166666666666667
91-PTB-HAM,"(0.12096774193548387, 'Baseline')","(0.27419354838709675, 'Weekday')","(0.3548387096774194, 'Regular')",5,Regular,0.08064516129032262
91-PTB-KIS,"(0.08333333333333333, 'Regular')","(0.175, 'Weekday')","(0.25833333333333336, 'Baseline')",15,Baseline,0.08333333333333337
91-PTB-LAK,"(0.08333333333333333, 'Regular')","(0.11666666666666667, 'Weekday')","(0.20833333333333334, 'Baseline')",16,Baseline,0.09166666666666667
91-PTB-PAK,"(0.11666666666666667, 'Regular')","(0.15, 'Weekday')","(0.23333333333333334, 'Baseline')",11,Baseline,0.08333333333333334
91-PTB-RGH,"(0.12903225806451613, 'Baseline')","(0.22580645161290322, 'Regular')","(0.28225806451612906, 'Weekday')",2,Weekday,0.05645161290322584
91-PTB-RMT,"(0.3170731707317073, 'Regular')","(0.43089430894308944, 'Weekday')","(0.6016260162601627, 'Baseline')",1,Baseline,0.1707317073170732
91-PTB-SOP,"(0.29838709677419356, 'Weekday')","(0.3467741935483871, 'Baseline')","(0.4112903225806452, 'Regular')",4,Regular,0.06451612903225806
91-PTB-WPK,"(0.05, 'Regular')","(0.10833333333333334, 'Weekday')","(0.225, 'Baseline')",13,Baseline,0.11666666666666667
91-RGH-LAK,"(0.08333333333333333, 'Regular')","(0.08333333333333333, 'Baseline')","(0.15833333333333333, 'Weekday')",14,Weekday,0.075
91-RGH-OKE,"(0.03361344537815126, 'Baseline')","(0.11764705882352941, 'Regular')","(0.16806722689075632, 'Weekday')",19,Weekday,0.050420168067226906
91-RGH-PAK,"(0.11666666666666667, 'Regular')","(0.13333333333333333, 'Baseline')","(0.2, 'Weekday')",9,Weekday,0.06666666666666668
91-RGH-SOP,"(0.23387096774193547, 'Baseline')","(0.24193548387096775, 'Regular')","(0.29838709677419356, 'Weekday')",2,Weekday,0.05645161290322581
91-RMT-CLB,"(0.1951219512195122, 'Regular')","(0.1951219512195122, 'Weekday')","(0.3089430894308943, 'Baseline')",6,Baseline,0.11382113821138212
91-RMT-LAK,"(0.1092436974789916, 'Regular')","(0.1092436974789916, 'Weekday')","(0.19327731092436976, 'Baseline')",15,Baseline,0.08403361344537816
91-RMT-OKE,"(0.1092436974789916, 'Regular')","(0.12605042016806722, 'Weekday')","(0.18487394957983194, 'Baseline')",20,Baseline,0.05882352941176472
91-RMT-SBG,"(0.0847457627118644, 'Regular')","(0.09322033898305085, 'Weekday')","(0.19491525423728814, 'Baseline')",19,Baseline,0.1016949152542373
91-RVR-HAM,"(0.21774193548387097, 'Baseline')","(0.23387096774193547, 'Weekday')","(0.3225806451612903, 'Regular')",6,Regular,0.08870967741935484
91-RVR-SBG,"(0.06722689075630252, 'Baseline')","(0.10084033613445378, 'Regular')","(0.15126050420168066, 'Weekday')",21,Weekday,0.05042016806722688
91-RVR-SOP,"(0.28225806451612906, 'Weekday')","(0.2903225806451613, 'Baseline')","(0.3548387096774194, 'Regular')",5,Regular,0.06451612903225806
91-SAV-DFB,"(0.058823529411764705, 'Baseline')","(0.08403361344537816, 'Regular')","(0.15966386554621848, 'Weekday')",15,Weekday,0.07563025210084032
91-SAV-DLD,"(0.19166666666666668, 'Weekday')","(0.20833333333333334, 'Regular')","(0.275, 'Baseline')",3,Baseline,0.06666666666666668
